englishWord,vietnameseMeaning,pronunciation,wordType,difficultyLevel,image,audioFile
hello,xin chào,/həˈloʊ/,Interjection,Easy,,
beautiful,đẹp,/ˈbjuːtɪfəl/,Adjective,Medium,,
computer,máy tính,/kəmˈpjuːtər/,Noun,Easy,,
study,học,/ˈstʌdi/,Verb,Easy,,
quickly,nhanh chóng,/ˈkwɪkli/,Adverb,Medium,,
family,gia đình,/ˈfæməli/,Noun,Easy,,
house,nhà,/haʊs/,Noun,Easy,,
school,trường học,/skuːl/,Noun,Easy,,
teacher,giáo viên,/ˈtiːtʃər/,Noun,Easy,,
student,học sinh,/ˈstuːdənt/,Noun,Easy,,
book,sách,/bʊk/,Noun,Easy,,
pen,bút,/pen/,Noun,Easy,,
table,bàn,/ˈteɪbəl/,Noun,Easy,,
chair,ghế,/tʃer/,Noun,Easy,,
water,nước,/ˈwɔːtər/,Noun,Easy,,
food,thức ăn,/fuːd/,Noun,Easy,,
car,ô tô,/kɑːr/,Noun,Easy,,
bus,xe buýt,/bʌs/,Noun,Easy,,
train,tàu hỏa,/treɪn/,Noun,Easy,,
airplane,máy bay,/ˈerpleɪn/,Noun,Medium,,
